num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:9f:fb:80,24:36:da:9f:fb:82,24:36:da:a2:7f:40,24:36:da:a2:7f:42,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:69:c0,2c:57:41:d4:69:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:97:00,84:f1:47:54:97:02,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
112,Lab. de fibras ópticas,,,,,,,,,,,,,,,-86,-87,,,,,,,,,,,,,,,-78,-77,,,-83,-84,,,,,,,,,,,,,-61,-61
113,Lab. de fibras ópticas,,,,,,,,,,,,,,,-86,-85,,,,,,,,,,,-88,-89,,,-71,-71,,,-85,-85,,,,,,,,,,,,,-61,-61
114,Lab. de fibras ópticas,,,-86,,,,,,,,,,,,-85,-83,,,,,,,,,,,,,,,-74,-74,,,-83,-82,,,,,,,,,,,,,-64,-64
115,Lab. de fibras ópticas,,,-86,-85,,,,,,,,,,,-83,-83,,,,,,,,,,,-89,-90,,,-76,-76,,,,,,,,,,,,,,,,,-59,-59
116,Lab. de fibras ópticas,,,,,,,,,,,,,,,-86,-86,,,,,,,,,,,,,,,-77,-76,,,,,,,,,,,,,,,,,-61,-61
117,Lab. de fibras ópticas,,,-84,-82,,,,,,,,,,,-86,-86,,,,,,,,,,,,,,,-75,-76,,,-88,-88,,,,,,,,,,,,,-64,-64
118,Lab. de fibras ópticas,,,-86,-85,,,,,,,,,,,-85,-86,,,,,,,,,,,,,,,-76,-75,,,-84,-83,,,,,,,,,,,,,-61,-60
119,Lab. de fibras ópticas,,,-84,-84,,,,,,,,,,,-85,-83,,,,,,,,,,,,,,,-76,-76,,,-85,-86,,,,,,,,,,,,,-63,-64
120,Lab. de fibras ópticas,,,-82,-81,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,-76,-76,,,-86,-86,,,,,,,,,,,,,-64,-64
121,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,-88,-88,,,,,,,,,,,-88,-87,,,-86,-87,,,-80,-80,,,,,,,,,,,,,,-89
122,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,-87,,,,,,,,,,,,-87,-87,,,-84,-84,,,-83,-82,,,,,,,,,,,,,-84,-84
123,Pesquisa em Eng. Elétrica,,,,-90,,,,,,,,,,,-85,-86,,,,,,,,,,,-87,-87,,,-87,-87,,,-85,-84,,,,,,,,,,,,,-79,-79
124,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,-87,,,-86,-87,,,-83,-83,,,,,,,,,,,,,-78,-78
125,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,-85,-87,,,,,,,,,,,,,,,-85,-84,,,-83,-82,,,,,,,,,,,,,-84,-84
126,Pesquisa em Eng. Elétrica,,,-89,-89,,,,,,,,,,,-89,-88,,,,,,,,,,,-90,-89,,,-87,-89,,,-83,-83,,,,,,,,,,,,,-79,-79
127,Pesquisa em Eng. Elétrica,,,,-89,,,,,,,,,,,-86,-85,,,,,,,,,,,-85,-85,,,-86,-88,,,-83,-84,,,,,,,,,,,,,-81,-81
128,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,-84,-85,,,,,,,,,,,-88,-87,,,-88,-87,,,-87,-87,,,,,,,,,,,,,-79,-77
129,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,-86,-85,,,,,,,,,,,,,,,-84,-83,,,-83,-83,,,,,,,,,,,,,-78,-79
130,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,,-86,-87,,,,,,,,,,,-88,-88,,,-89,-87,,,-86,-86,-91,-92,,,,,,,,,,,-83,-82
131,Práticas didáticas,,,,,,,,,,,,,,,-89,-89,,,,,,,,,,,-83,-83,,,,,,,-74,-74,-83,-82,,,,,,,,,,,-86,-86
